City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ribeira grande,38.5167,-28.7,17.65,82,75,14.31,PT,1707774042
83,xilin hot,43.9667,116.0333,-4.54,78,0,5.9,CN,1707773912
84,atafu village,-8.5421,-172.5159,28.7,79,100,9.11,TK,1707774042
85,toma,12.7667,-2.8833,27.08,8,47,4.23,BF,1707774042
86,harran,36.86,39.0314,12.54,71,100,2.56,TR,1707774042
87,yelizovo,53.1873,158.3805,-17.33,56,0,5.81,RU,1707774042
88,papao,-17.75,-149.55,27.82,89,100,13.46,PF,1707773914
89,albany,42.6001,-73.9662,3.69,66,100,0.89,US,1707773844
90,cheremushki,52.8356,91.3944,-13.85,84,100,2.51,RU,1707774043
91,mbanza-ngungu,-5.25,14.8667,22.58,88,88,1.37,CD,1707774043
92,guerrero negro,27.9769,-114.0611,19.59,29,0,2.66,MX,1707774043
93,uthal,25.8072,66.6219,20.69,50,96,1.54,PK,1707774043
94,afsin,38.2477,36.914,6.67,82,100,1.84,TR,1707774044
95,walvis bay,-22.9575,14.5053,19.53,77,13,0.0,NA,1707774044
96,taghazout,30.5426,-9.7112,16.43,55,55,2.17,MA,1707774044
97,edinburgh of the seven seas,-37.0676,-12.3116,17.5,72,100,6.56,SH,1707773866
98,kodinsk,58.6881,99.1844,-13.64,93,100,4.49,RU,1707774044
99,juneau,58.3019,-134.4197,3.01,95,100,2.57,US,1707774044
100,olonkinbyen,70.9221,-8.7187,-1.36,86,100,7.35,SJ,1707773867
101,kone,-21.0595,164.8658,28.5,62,0,1.76,NC,1707774045
102,hakui,36.8833,136.7833,4.82,69,0,5.52,JP,1707774045
103,udachny,66.4167,112.4,-37.53,65,100,3.9,RU,1707773959
104,ambalangoda,6.2355,80.0538,24.83,86,31,3.32,LK,1707774045
105,portland,45.5234,-122.6762,13.12,66,75,5.14,US,1707773825
106,mitchell,43.7094,-98.0298,7.99,46,0,7.2,US,1707774045
107,bela,25.9333,81.9833,16.7,47,87,2.72,IN,1707774046
108,campoverde,-8.4753,-74.8058,25.83,84,89,1.09,PE,1707774046
109,khadyzhensk,44.4256,39.5319,11.26,57,100,1.67,RU,1707774046
110,voskresenskoye,56.8381,45.4317,-6.82,97,100,1.52,RU,1707774046
111,raj-nandgaon,21.1,81.0333,21.19,63,67,1.35,IN,1707774046
112,fale old settlement,-9.3852,-171.2468,28.13,84,100,7.81,TK,1707774046
113,fortuna,40.5982,-124.1573,14.4,89,0,1.34,US,1707773729
114,aykhal,66.0,111.5,-36.53,100,100,2.77,RU,1707774047
115,loa janan,-0.583,117.095,22.92,98,99,0.71,ID,1707774047
116,petropavlovsk-kamchatsky,53.0452,158.6483,-18.08,81,0,5.0,RU,1707774047
117,utrik,11.2278,169.8474,26.36,77,100,9.13,MH,1707774047
118,swan hill,-35.3378,143.5544,31.68,31,5,7.12,AU,1707774048
119,port elizabeth,-33.918,25.5701,21.17,93,0,2.57,ZA,1707774048
120,sisimiut,66.9395,-53.6735,-22.16,88,23,2.38,GL,1707774048
121,greenville,35.6127,-77.3663,17.09,97,100,6.69,US,1707774048
122,anadyr,64.75,177.4833,-28.72,75,0,5.0,RU,1707774010
123,quellon,-43.1167,-73.6167,16.61,40,12,3.09,CL,1707774048
124,inhambane,-23.865,35.3833,22.82,68,4,3.13,MZ,1707774048
125,zouerate,22.7187,-12.4521,24.04,23,0,3.03,MR,1707774049
126,fukuecho,32.6881,128.8419,11.48,70,0,4.98,JP,1707774049
127,uturoa,-16.7333,-151.4333,25.52,95,100,3.12,PF,1707774049
128,haiku-pauwela,20.9219,-156.3051,26.25,56,20,6.17,US,1707773870
129,keflavik,64.0049,-22.5624,0.95,86,75,8.23,IS,1707774049
